module,root_id,element,root_lemma,gloss_fil,example_fil,gloss_en_backgloss,example_en_backgloss,qa_status,reviewer_ok (Y/N),reviewer_notes
10,m10-deber,,deber,dapat / kailangan,Kailangan mong manatiling kalmado at dapat kang humingi ng tulong sa pulis.,must / ought to (obligation),You have to stay calm and you must ask the police for help.,pending,,
10,m10-seguro,,seguro,seguro / insurance / ligtas,Kailangang kumuha ng travel insurance bago umalis ng bansa.,insurance / safe,One must take out travel insurance before leaving the country.,pending,,
10,m10-farmacia,,farmacia,botika / parmasya,"Kung masama ang pakiramdam mo, dapat kang pumunta sa botika o tumawag ng doktor.",pharmacy,"If you feel ill, you must go to the pharmacy or call a doctor.",pending,,
10,m10-preguntar,,preguntar,magtanong,Saan po ang istasyon ng tren? Nagtatanong ako dahil naligaw ako.,to ask (a question),Where is the train station? I'm asking because I got lost.,pending,,
10,m10-cuanto,,cuánto,magkano / ilan,Magkano ang tiket at ilang hinto ang ginagawa ng bus?,how much / how many,How much is the ticket and how many stops does the bus make?,pending,,
10,m10-cuando,,cuándo,kailan,Kailan aalis ang susunod na tren papuntang lungsod ng Cebu?,when,When does the next train leave for the city of Cebu?,pending,,
10,m10-como,,cómo,paano,Paano ako makararating sa sentro at sa aling kalye ako dapat lumiko?,how,How can I get to the center and which street should I turn on?,pending,,
10,m10-recomendar,,recomendar,magrekomenda / imungkahi,Aling restawran po ang inirerekomenda ninyo malapit sa daungan?,to recommend,Which restaurant do you recommend near the port?,pending,,
11,m11-medioambiente,,medio ambiente,kalikasan / kapaligiran,Sana ay alagaan natin ang kalikasan para sa mga susunod na salinlahi.,environment,I hope we take care of the environment for the next generations.,pending,,
11,m11-concienciar,,concienciar,magbigay-kamalayan,Umaasa akong bigyang-kamalayan ng paaralan ang mga kabataan tungkol sa klima.,to raise awareness,I hope the school raises young people's awareness about the climate.,pending,,
11,m11-naturaleza,,naturaleza,kalikasan,Gusto kong igalang natin ang kalikasan sa biyahe sa Palawan.,nature,I want us to respect nature during the trip to Palawan.,pending,,
11,m11-proteger,,proteger,protektahan / pangalagaan,Mahalagang protektahan natin ang mga bahura ng korales ng bansa.,to protect,It is important that we protect the country's coral reefs.,pending,,
11,m11-sostenible,,sostenible,napapanatili / sustenable,Nais kong maging mas napapanatili at luntian ang ating mga lungsod.,sustainable,I wish our cities were more sustainable and green.,pending,,
11,m11-contaminar,,contaminar,magpadumi / magkontamina,"Kung hindi dudumihan ng mga pabrika ang Ilog Pasig, magiging malinis ang tubig.",to pollute / to contaminate,"If the factories did not pollute the Pasig River, the water would be clean.",pending,,
11,m11-deforestacion,,deforestación,pagkakalbo ng kagubatan,"Kung walang ganoong karaming pagkakalbo ng kagubatan, magkakaroon ng mas kaunting baha sa Luzon.",deforestation,"Without so much deforestation, there would be fewer floods in Luzon.",pending,,
11,m11-solucion,,solución,solusyon / lunas,"Kung may mas maraming pondo tayo, makahahanap tayo ng solusyon sa problema ng basura.",solution,"If we had more funds, we would find a solution to the garbage problem.",pending,,
11,m11-calentamiento,,calentamiento,pag-init (ng mundo),"Kung babawasan natin ang mga emisyon, mas mabagal na uusad ang pag-init ng mundo.",warming (global warming),"If we reduced emissions, global warming would advance more slowly.",pending,,
11,m11-mitigar,,mitigar,pagaanin / bawasan,"Kung magtatanim tayo ng mas maraming puno, mapapagaan natin ang epekto ng pagbabago ng klima.",to mitigate / to ease,"If we planted more trees, we would mitigate the effects of climate change.",pending,,
11,m11-reciclar,,reciclar,mag-recycle / muling gamitin,"May ilang kapitbahay na nagre-recycle, ngunit marami pa ring hindi naghihiwalay ng kahit ano.",to recycle,"Some neighbors recycle, but many still do not separate anything.",pending,,
11,m11-residuo,,residuo,basura / labi,Bawat pamilya ay gumagawa ng sobrang dami ng basura kada linggo.,waste / residue,Each family produces too much waste every week.,pending,,
11,m11-plastico,,plástico,plastik,Walang palengke sa Maynila ang dapat gumamit ng ganoong karaming isahang-gamit na plastik.,plastic,No market in Manila should use so much single-use plastic.,pending,,
11,m11-reutilizar,,reutilizar,muling gamitin,Kahit sino ay maaaring muling gumamit ng mga bote sa halip na itapon ang mga ito.,to reuse,Anyone can reuse the bottles instead of throwing them away.,pending,,
11,m11-basura,,basura,basura,Kaunti lang sa mga turista ang nag-iiwan ng kahit anong basura kapag may mga lalagyan sa dalampasigan.,garbage / trash,Few tourists leave any garbage when the beach has bins.,pending,,
11,m11-energia,,energía,enerhiya,"Ang enerhiyang ginagamit natin sa bahay ay nagmumula sa karbon, na lubhang nakapagpaparumi.",energy,"The energy we use at home comes from coal, which pollutes a lot.",pending,,
11,m11-renovable,,renovable,renewable / muling mapagkukunan,"Ang mga renewable na pinagmumulan, na hindi nauubos, ang kinabukasan ng bansa.",renewable,"Renewable sources, which do not run out, are the future of the country.",pending,,
11,m11-solar,,solar,solar / pang-araw,Ang solar panel na inilagay namin sa bubong ay nagpapababa ng aming bayarin.,solar,The solar panel that we installed on the roof reduces our bill.,pending,,
11,m11-eolico,,eólico,hangin (enerhiya mula sa hangin),"Ang wind farm sa Ilocos Norte, na ang mga turbina ay napakalaki, ay gumagawa ng malinis na kuryente.",wind (energy),"The wind farm in Ilocos Norte, whose turbines are enormous, generates clean electricity.",pending,,
11,m11-combustible,,combustible,gasolina / panggatong,"Ang mga fossil fuel, na inaabot ng milyong taon upang mabuo, ay hindi renewable.",fuel,"Fossil fuels, which take millions of years to form, are not renewable.",pending,,
11,m11-ecoturismo,,ecoturismo,ekoturismo,Maaaring protektahan ng ekoturismo ang mga isla kung iginagalang ng mga bisita ang mga patakaran.,ecotourism,Ecotourism can protect the islands if visitors respect the rules.,pending,,
11,m11-conservar,,conservar,pangalagaan / itaguyod,Dapat nating pangalagaan ang mga bakawan ng Bohol para sa mga susunod na henerasyon.,to conserve / to preserve,We must conserve the mangroves of Bohol for future generations.,pending,,
11,m11-biodiversidad,,biodiversidad,biodibersidad,Maaaring tamasahin ng mga turista ang biodibersidad nang hindi sinisira ang mga tirahan.,biodiversity,Tourists can enjoy the biodiversity without harming the habitats.,pending,,
11,m11-reserva,,reserva,reserba / santuwaryo,Hindi maaaring mangisda sa reserbang kalikasan nang walang espesyal na permiso.,reserve / sanctuary,You cannot fish in the nature reserve without a special permit.,pending,,
11,m11-sendero,,sendero,landas / daanan,Dapat sundin ng mga bisita ang minarkahang landas upang hindi matapakan ang mga halaman.,trail / path,Visitors must follow the marked trail so as not to step on the plants.,pending,,
11,m11-ahorrar,,ahorrar,magtipid,Bawat tao ay dapat magtipid ng tubig sa panahon ng tagtuyot.,to save (resources/money),Each person should save water during the dry season.,pending,,
11,m11-reducir,,reducir,bawasan,Maaari nating bawasan ang ating carbon footprint kung mas madalas tayong maglakad.,to reduce,We can reduce our carbon footprint if we walk more.,pending,,
11,m11-consumir,,consumir,kumonsumo / gumamit,Kailangan nating kumonsumo ng mas kaunting kuryente sa gabi.,to consume,We have to consume less electricity at night.,pending,,
11,m11-evitar,,evitar,iwasan,Dapat nating iwasan ang mga plastik na supot kapag pumupunta tayo sa palengke.,to avoid,We should avoid plastic bags when we go to the market.,pending,,
11,m11-cuidar,,cuidar,mag-alaga / pangalagaan,Lahat tayo ay maaaring mag-alaga sa planeta sa pamamagitan ng maliliit na pang-araw-araw na kilos.,to take care of,We can all take care of the planet with small daily gestures.,pending,,
11,m11-responsabilidad,,responsabilidad,responsibilidad / pananagutan,Ang pangangalaga sa kalikasan ay isang pananagutan na dapat nating lahat panghawakan.,responsibility,Caring for the environment is a responsibility we must all take on.,pending,,
11,m11-colaborar,,colaborar,makipagtulungan,Ang mga komunidad ay kailangang makipagtulungan upang linisin ang mga ilog.,to collaborate,Communities have to collaborate to clean the rivers.,pending,,
11,m11-denunciar,,denunciar,ireklamo / isumbong,Maaaring isumbong ng mga mamamayan ang mga nagtatapon ng basura sa dalampasigan.,to report / to denounce,Citizens can report those who throw garbage on the beach.,pending,,
11,m11-fomentar,,fomentar,itaguyod / pasiglahin,Dapat itaguyod ng pamahalaan ang pampublikong transportasyon upang mabawasan ang polusyon.,to promote / to foster,The government must promote public transport to reduce pollution.,pending,,
11,m11-comprometerse,,comprometer(se),mangako / magtalaga ng sarili,Bawat isa sa atin ay dapat mangako na mamuhay nang mas napapanatili.,to commit (oneself),Each of us should commit to living more sustainably.,pending,,
12,m12-vanguardia,,vanguardia,abanggardya / pinakabago sa sining,Ipinapakita ng eksibisyon ang malalalim na abanggardyang likha na sumisira sa tradisyon.,avant-garde / cutting edge,The exhibition presents deeply avant-garde works that break with tradition.,pending,,
12,m12-mural,,mural,mural / pintang dingding,Ang mural sa plasa ay napakakulay at talagang kapansin-pansin.,mural,The mural in the square is hugely colorful and turns out to be very striking.,pending,,
12,m12-escultura,,escultura,eskultura / inukit na sining,Ang abstraktong eskulturang iyon ay nakakagulat na pino sa kabila ng malaking sukat nito.,sculpture,That abstract sculpture is surprisingly delicate despite its large size.,pending,,
12,m12-contemporaneo,,contemporáneo,kontemporaryo / makabago,Ang kontemporaryong sining ng Pilipinas ay kapuri-puring orihinal at lalong kinikilala.,contemporary,Contemporary Filipino art is admirably original and increasingly recognized.,pending,,
12,m12-galeria,,galería,galerya / pook-tanghalan ng sining,Ang bagong galerya sa Makati ay eleganteng at maingat na naiilawan.,gallery,The new gallery in Makati is elegant and is carefully lit.,pending,,
12,m12-genero,,género,uri / genre (ng musika),"Gustong-gusto ko ang uri ng jazz, ngunit hindi ko gusto ang mga uring labis na maingay.",genre,"I love the jazz genre, but I don't like overly noisy genres at all.",pending,,
12,m12-melodia,,melodía,melodiya / himig,Ako ay humahanga sa malalambing na melodiya na tumutulong sa akin na mag-relaks.,melody,I am fascinated by gentle melodies that help me relax.,pending,,
12,m12-letra,,letra (de canción),liriko / titik ng kanta,Lubos akong interesado sa mga lirikong nagkukuwento tungkol sa kasalukuyang lipunan.,lyrics,I am very interested in lyrics that tell stories about today's society.,pending,,
12,m12-ritmo,,ritmo,ritmo / indayog,Gusto namin ang ritmo ng musikang Latino dahil nagbibigay ito sa amin ng ganang sumayaw.,rhythm / beat,We like the rhythm of Latin music because it makes us want to dance.,pending,,
12,m12-concierto,,concierto,konsiyerto,"Ang aking mga kaibigan ay mahilig sa mga buhay na konsiyerto, lalo na ang sa katutubong musika.",concert,"My friends are passionate about live concerts, especially folk music ones.",pending,,
12,m12-pelicula,,película,pelikula,"Sa aking palagay, ang pelikulang Pilipinong ito ay isa sa pinakamahusay sa taon.",film / movie,"In my opinion, this Filipino film is one of the best of the year.",pending,,
12,m12-serie,,serie,serye (sa telebisyon),"Sa tingin ko, ang seryeng ito ay nakakaaliw, bagaman naniniwala akong medyo mahina ang katapusan.",series / TV show,"It seems to me that this series is entertaining, although I think the ending is a bit weak.",pending,,
12,m12-guion,,guion,iskrip / banghay ng pelikula,"Sa aking pananaw, ang iskrip ay napakahusay na nasulat at makatotohanan ang mga diyalogo.",script / screenplay,I consider that the script is very well written and that the dialogue is realistic.,pending,,
12,m12-actuacion,,actuación,pag-arte / pagganap,"Sa palagay ko, ang pagganap ng bida ay napakahusay at lubos na kapani-paniwala.",acting / performance,I think the lead actor's performance is brilliant and very convincing.,pending,,
12,m12-documental,,documental,dokumentaryo,Kumbinsido ako na ang mga dokumentaryo tungkol sa kasaysayan ay tumutulong sa ating maunawaan ang kasalukuyan.,documentary,I am convinced that documentaries about history help us understand the present.,pending,,
12,m12-moda,,moda,moda / uso,"Naniniwala akong pinahahalagahan ng kasalukuyang moda ang kaginhawaan, at sa palagay ko ay patuloy itong lalago.",fashion,"I think current fashion values comfort, and I believe that trend will keep growing.",pending,,
12,m12-tendencia,,tendencia,tendensiya / uso,"Sa tingin ko, mabilis magbago ang mga tendensiya at malapit nang makita ang pagbabalik sa klasiko.",trend,It seems to me that trends change very fast and soon we will see a return to the classic.,pending,,
12,m12-diseno,,diseño,disenyo,"Sa palagay ko, mas makakakuha ng pang-internasyonal na espasyo ang lokal na disenyo sa mga darating na taon.",design,I think local design will gain more international space in the coming years.,pending,,
12,m12-marca,,marca,tatak / marka,"Sa palagay ko, ang mga tatak na sustenable ay lalong magiging mahalaga sa mga kabataan.",brand,I think sustainable brands will become more and more important for young people.,pending,,
12,m12-prenda,,prenda,kasuotan / piraso ng damit,Naniniwala akong ang tradisyonal na kasuotang ito ay muling magiging uso sa lalong madaling panahon.,garment / item of clothing,I think this traditional garment will come back into fashion very soon.,pending,,
12,m12-gastronomia,,gastronomía,gastronomiya / lutuin,Tinuklas ko ang gastronomiya ng Pilipinas sa buong buhay ko at ngayon ay mas pinahahalagahan ko ang bawat putahe.,gastronomy / cuisine,I have explored Filipino gastronomy all my life and now I appreciate each dish much more.,pending,,
12,m12-sabor,,sabor,lasa,Hindi pa ako nakatikim ng lasang kasintindi ng adobong kinain ko sa Cebu.,flavor / taste,I have never tasted a flavor as intense as the adobo I ate in Cebu.,pending,,
12,m12-receta,,receta,resipe,Itinuro sa akin ng aking lola ang resipeng ito noong bata pa ako at ginagawa ko pa rin ito tuwing Linggo.,recipe,My grandmother taught me this recipe when I was a girl and I still make it every Sunday.,pending,,
12,m12-fusion,,fusión,pagsasanib / fusion (sa pagkain),Lubos naming nasiyahan ang lutuing fusion na naghahalo ng lasang Espanyol at Asyano.,fusion,We have greatly enjoyed fusion cuisine that mixes Spanish and Asian flavors.,pending,,
12,m12-degustar,,degustar,tumikim / lumasap,Noong nakaraang taon ay tumikim kami ng mga tradisyonal na putahe sa palengke ng Zamboanga at gustong-gusto namin ang mga ito.,to taste / to sample,Last year we sampled typical dishes at a market in Zamboanga and we loved them.,pending,,
12,m12-costumbre,,costumbre,kaugalian / kustombre,"Ayon sa tradisyon, ang aming pamilya ay laging nagtitipon tuwing Pasko upang panatilihin ang mga kaugalian.",custom / habit,"Traditionally, our family always gathers at Christmas to keep the customs.",pending,,
12,m12-celebracion,,celebración,selebrasyon / pagdiriwang,"Taun-taon kami ay dumadalo sa pagdiriwang ng bayan, na karaniwang tumatagal ng isang buong linggo.",celebration,"Every year we attend the town's celebration, which usually lasts a whole week.",pending,,
12,m12-fiesta,,fiesta,pista / piyesta,"Sa Pilipinas, madalas ipagdiwang ang mga piyesta ng patron na bihirang hindi mapansin.",festival / party,"In the Philippines, patron-saint festivals are often celebrated and they rarely go unnoticed.",pending,,
12,m12-tradicion,,tradición,tradisyon,"Sa pangkalahatan ay iginagalang namin ang mga tradisyon ng aming mga nakatatanda, ngunit kung minsan ay inaangkop namin ang mga ito.",tradition,"We generally respect the traditions of our elders, but sometimes we adapt them.",pending,,
12,m12-rito,,rito,ritwal / seremonya,"Noong unang panahon, ang ritwal na ito ay inuulit gabi-gabi, ngunit sa kasalukuyan ay halos hindi na isinasagawa.",rite / ritual,"In the past, this rite was repeated every night, but nowadays it is hardly practiced.",pending,,
12,m12-identidad,,identidad,pagkakakilanlan / identidad,"Sa kasalukuyan, masidhing pinagtatalunan ang pagkakakilanlang pangkultura sa isang globalisadong lipunan.",identity,Nowadays there is intense debate about cultural identity in a globalized society.,pending,,
12,m12-sociedad,,sociedad,lipunan / sosyedad,Ang kontemporaryong lipunan ay patuloy na nagbabago at humihingi ng napakabukas na pananaw.,society,Contemporary society changes constantly and demands a very open mindset.,pending,,
12,m12-diversidad,,diversidad,pagkakaiba-iba / diversidad,"Sa personal, naniniwala akong lubos na pinayayaman ng pagkakaiba-iba ng kultura ang ating pang-araw-araw na buhay.",diversity,"Personally, I think cultural diversity enormously enriches our daily life.",pending,,
12,m12-influencia,,influencia,impluwensiya,Ang impluwensiya ng mga social media sa kulturang kabataan ay malinaw na hindi maikakaila ngayon.,influence,The influence of social media on youth culture is today clearly undeniable.,pending,,
12,m12-patrimonio,,patrimonio,pamana / patrimonyo (pangkultura),Madalas nating nakakalimutan na ang ating patrimonyong pangkultura ay dapat patuloy na pangalagaan.,heritage / patrimony,We frequently forget that our cultural heritage must be continuously protected.,pending,,
